datetime,A Bus Voltage,A Current,Set Voltage,digital intput
2023-06-05 18:00:03.590083,2.02 V,108.10 mA,0.00,0.93
2023-06-05 18:00:10.653990,0.35 V,108.10 mA,0.00,0.93
2023-06-05 18:00:17.717838,1.26 V,107.80 mA,0.00,0.93
2023-06-05 18:00:24.780150,0.26 V,107.80 mA,0.00,0.93
2023-06-05 18:00:31.842481,2.96 V,107.90 mA,0.00,0.93
2023-06-05 18:00:38.904422,0.00 V,107.70 mA,0.00,0.93
2023-06-05 18:00:45.966258,0.72 V,108.00 mA,0.00,0.93
2023-06-05 18:00:53.027913,1.58 V,107.70 mA,0.00,0.93
2023-06-05 18:01:00.089369,0.19 V,108.00 mA,0.00,0.93
2023-06-05 18:01:07.151769,3.10 V,102.10 mA,0.00,0.93
2023-06-05 18:01:14.215151,0.00 V,107.40 mA,0.00,0.93
2023-06-05 18:01:21.276985,0.80 V,107.80 mA,0.00,0.93
2023-06-05 18:01:28.339411,1.80 V,72.30 mA,0.00,0.93
2023-06-05 18:01:35.401869,0.08 V,107.80 mA,0.00,0.93
2023-06-05 18:01:42.464730,2.65 V,108.00 mA,0.00,0.93
2023-06-05 18:01:49.527389,0.01 V,107.70 mA,0.00,0.93
2023-06-05 18:01:56.591060,2.64 V,104.50 mA,0.00,0.93
2023-06-05 18:02:03.653661,0.00 V,107.80 mA,0.00,0.93
2023-06-05 18:02:10.716085,1.24 V,108.30 mA,0.00,0.93
2023-06-05 18:02:17.777818,2.35 V,92.30 mA,0.00,0.93
2023-06-05 18:02:24.840117,0.00 V,107.20 mA,0.00,0.93
2023-06-05 18:02:31.902801,3.13 V,108.10 mA,0.00,0.93
2023-06-05 18:02:38.964927,0.00 V,108.00 mA,0.00,0.93
2023-06-05 18:02:46.028081,3.08 V,108.00 mA,0.00,0.93
2023-06-05 18:02:53.091516,0.00 V,107.70 mA,0.00,0.93
2023-06-05 18:03:00.154029,3.35 V,107.70 mA,0.00,0.93
2023-06-05 18:03:07.216581,1.75 V,107.90 mA,0.00,0.93
2023-06-05 18:03:23.373691,0.00 V,108.10 mA,0.00,0.93
2023-06-05 18:03:30.436582,3.01 V,108.40 mA,0.00,0.93
2023-06-05 18:03:37.498764,1.50 V,107.80 mA,0.00,0.93
2023-06-05 18:03:44.561676,0.38 V,107.70 mA,0.00,2.18
2023-06-05 18:03:51.623917,1.65 V,105.40 mA,0.00,3.42
2023-06-05 18:03:58.686129,0.26 V,107.90 mA,0.01,4.66
2023-06-05 18:04:05.747866,2.23 V,66.80 mA,0.01,5.90
2023-06-05 18:04:12.810203,0.26 V,107.60 mA,0.01,7.15
2023-06-05 18:04:19.872350,1.42 V,105.20 mA,0.01,8.39
2023-06-05 18:04:26.934771,2.03 V,108.20 mA,0.01,9.63
2023-06-05 18:04:33.997880,0.00 V,108.00 mA,0.01,10.88
2023-06-05 18:04:41.060990,1.44 V,107.70 mA,0.01,12.12
2023-06-05 18:04:48.124078,1.70 V,107.30 mA,0.01,13.36
2023-06-05 18:04:55.187438,2.12 V,108.30 mA,0.01,14.60
2023-06-05 18:05:02.251170,2.20 V,107.80 mA,0.01,15.85
2023-06-05 18:05:09.314753,2.18 V,108.00 mA,0.02,17.09
2023-06-05 18:05:16.376591,2.38 V,108.00 mA,0.02,18.33
2023-06-05 18:05:23.439301,2.54 V,108.00 mA,0.02,19.58
2023-06-05 18:05:30.502691,2.23 V,107.90 mA,0.02,20.82
2023-06-05 18:05:37.565713,2.44 V,107.80 mA,0.02,22.06
2023-06-05 18:05:44.628544,2.79 V,108.10 mA,0.02,23.30
2023-06-05 18:05:51.691211,2.96 V,107.80 mA,0.02,24.55
2023-06-05 18:05:58.753064,0.36 V,107.80 mA,0.02,25.79
2023-06-05 18:06:05.815121,0.17 V,107.70 mA,0.02,27.03
2023-06-05 18:06:12.878481,0.00 V,106.20 mA,0.03,28.28
2023-06-05 18:06:19.940967,1.53 V,108.00 mA,0.03,29.52
2023-06-05 18:06:27.004130,2.58 V,107.90 mA,0.03,30.76
2023-06-05 18:06:34.066681,3.00 V,107.10 mA,0.03,32.01
2023-06-05 18:06:41.129779,0.48 V,107.80 mA,0.03,33.25
2023-06-05 18:06:48.191625,0.01 V,107.80 mA,0.03,34.49
2023-06-05 18:06:55.254393,0.00 V,102.10 mA,0.03,35.73
2023-06-05 18:07:02.316849,1.79 V,107.80 mA,0.03,36.98
2023-06-05 18:07:09.379766,3.02 V,107.70 mA,0.03,38.22
2023-06-05 18:07:16.442885,3.35 V,107.60 mA,0.03,39.46
2023-06-05 18:07:23.506221,2.98 V,108.00 mA,0.04,40.71
2023-06-05 18:07:30.569784,2.68 V,107.80 mA,0.04,41.95
2023-06-05 18:07:37.633604,2.18 V,107.70 mA,0.04,43.19
2023-06-05 18:07:44.697784,2.63 V,107.80 mA,0.04,44.43
2023-06-05 18:07:51.761491,3.40 V,107.80 mA,0.04,45.68
2023-06-05 18:07:58.824900,3.40 V,108.40 mA,0.04,46.92
2023-06-05 18:08:05.888167,2.90 V,107.70 mA,0.04,48.16
2023-06-05 18:08:12.952757,2.86 V,107.70 mA,0.04,49.41
2023-06-05 18:08:20.016710,2.93 V,107.80 mA,0.04,50.65
2023-06-05 18:08:27.079253,3.42 V,107.70 mA,0.04,51.89
2023-06-05 18:08:34.143221,3.40 V,107.40 mA,0.05,53.13
2023-06-05 18:08:41.206829,3.40 V,107.90 mA,0.05,54.38
